dataset_id,scenario,method,estimand,replicates,coverage,coverage_mc_low,coverage_mc_high,bias,positive_rate,mean_width
ds005540,independent_noise,normal_t,p8_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0089160515154455,0.0,0.2411117905130314
ds005540,independent_noise,normal_t,p8_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0018172657589366,0.0,0.1556192691837907
ds005540,independent_noise,normal_t,p8_s2,300,1.0,0.9873570287754538,0.9999999999999998,-9.779888782296982e-05,0.0,0.1698061118568478
ds005540,independent_noise,normal_t,p8_s4,300,1.0,0.9873570287754538,0.9999999999999998,-0.0023328686531028,0.0,0.1784084290174897
ds005540,independent_noise,normal_t,p8_s8,300,1.0,0.9873570287754538,0.9999999999999998,-0.0040622075501616,0.0,0.1835463562447458
ds005540,independent_noise,normal_t,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,0.0034324126476086,0.0,0.1606762810009543
ds005540,independent_noise,percentile,p0_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0023928773779268,0.0,0.203299255666767
ds005540,independent_noise,percentile,p0_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0053496957167523,0.0,0.1324421191253055
ds005540,independent_noise,percentile,p0_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0049031483257109,0.0,0.1477117037415161
ds005540,independent_noise,percentile,p0_s4,300,1.0,0.9873570287754538,0.9999999999999998,0.0037766766034808,0.0,0.1567098534841123
ds005540,independent_noise,percentile,p0_s8,300,1.0,0.9873570287754538,0.9999999999999998,0.0029267439291026,0.0,0.16252559181936
ds005540,independent_noise,percentile,p1_s0,300,0.9933333333333332,0.9760224167496928,0.998169851642088,0.0115825389228678,0.0,0.1718285827202112
ds005540,independent_noise,percentile,p1_s1,300,0.98,0.9570603791821394,0.9908023684422964,0.0056620241854732,0.0,0.1261345339014183
ds005540,independent_noise,percentile,p1_s2,300,0.9866666666666668,0.9662244697474676,0.9948030382606412,0.0053891462188008,0.0,0.1361734504986082
ds005540,independent_noise,percentile,p1_s4,300,0.9833333333333332,0.9615846051669054,0.9928605226493666,0.0048075661777583,0.0,0.1431007655944345
ds005540,independent_noise,percentile,p1_s8,300,0.9833333333333332,0.9615846051669054,0.9928605226493666,0.0041505237403964,0.0,0.1471068935973539
ds005540,independent_noise,percentile,p2_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0108031500911921,0.0,0.1769779482505658
ds005540,independent_noise,percentile,p2_s1,300,0.9966666666666668,0.9813633063054688,0.9994113422781488,0.0033127788045333,0.0,0.1229996672058063
ds005540,independent_noise,percentile,p2_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0027331252406214,0.0,0.1336451439969077
ds005540,independent_noise,percentile,p2_s4,300,1.0,0.9873570287754538,0.9999999999999998,0.0015375918407933,0.0,0.1398967382756673
ds005540,independent_noise,percentile,p2_s8,300,1.0,0.9873570287754538,0.9999999999999998,0.000390671440038,0.0,0.1442912988428996
ds005540,independent_noise,percentile,p4_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0101601348311741,0.0,0.1818428752680579
ds005540,independent_noise,percentile,p4_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.002538582341116,0.0,0.1212138833351359
ds005540,independent_noise,percentile,p4_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.001257316496747,0.0,0.1316547681657973
ds005540,independent_noise,percentile,p4_s4,300,1.0,0.9873570287754538,0.9999999999999998,-0.0003110712300967,0.0,0.138116848358562
ds005540,independent_noise,percentile,p4_s8,300,1.0,0.9873570287754538,0.9999999999999998,-0.0017933470474678,0.0,0.1423528908352581
ds005540,independent_noise,percentile,p8_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0089160515154455,0.0,0.1845296506046201
ds005540,independent_noise,percentile,p8_s1,300,0.9966666666666668,0.9813633063054688,0.9994113422781488,0.0018172657589366,0.0,0.1193605079625694
ds005540,independent_noise,percentile,p8_s2,300,1.0,0.9873570287754538,0.9999999999999998,-9.779888782296982e-05,0.0,0.1303223532484513
ds005540,independent_noise,percentile,p8_s4,300,1.0,0.9873570287754538,0.9999999999999998,-0.0023328686531028,0.0,0.1367744653672172
ds005540,independent_noise,percentile,p8_s8,300,1.0,0.9873570287754538,0.9999999999999998,-0.0040622075501616,0.0,0.1406993898741516
ds005540,independent_noise,percentile,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,0.0034324126476086,0.0,0.1230051439210955
ds005540,labels_only,basic,p0_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p0_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p0_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p0_s4,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p0_s8,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p1_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p1_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p1_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p1_s4,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p1_s8,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p2_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p2_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p2_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p2_s4,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p2_s8,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p4_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p4_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p4_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p4_s4,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p4_s8,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p8_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p8_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p8_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p8_s4,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,p8_s8,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,basic,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p0_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
